Gene Symbol,Description,Ensembl ID,Entrez ID,Vision,Auditory,Olfactory,Touch,Gene_hgnc
GALNTL5,,ENSG00000106648,168391,yes,no,no,no,GALNTL5
GALNTL6,,ENSG00000174473,442117,yes,no,no,no,GALNTL6
GALT,,ENSG00000213930,2592,yes,yes,no,no,GALT
GAMT,,ENSG00000130005,2593,yes,no,no,yes,GAMT
GAN,,ENSG00000261609,8139,yes,yes,no,yes,GAN
GAREM2,,ENSG00000157833,150946,yes,no,no,no,GAREM2
GARIN6,,ENSG00000180219,196472,yes,no,no,no,GARIN6
GAS2L2,,ENSG00000270765,246176,yes,yes,no,no,GAS2L2
GAS8,,ENSG00000141013,2622,yes,yes,no,no,GAS8
GATA2,,ENSG00000179348,2624,yes,yes,no,no,GATA2
GATA3,,ENSG00000107485,2625,yes,yes,no,no,GATA3
GATAD1,,ENSG00000157259,57798,yes,yes,no,no,GATAD1
GATAD2B,,ENSG00000143614,57459,yes,no,no,yes,GATAD2B
GATB,,ENSG00000059691,5188,yes,yes,no,no,GATB
GATM,,ENSG00000171766,2628,yes,no,no,no,GATM
GBA2,,ENSG00000070610,57704,yes,yes,no,yes,GBA2
GBE1,,ENSG00000114480,2632,yes,yes,no,yes,GBE1
GBF1,,ENSG00000107862,8729,yes,yes,no,yes,GBF1
GCDH,,ENSG00000105607,2639,yes,yes,no,no,GCDH
GCH1,,ENSG00000131979,2643,yes,yes,no,yes,GCH1
GCK,,ENSG00000106633,2645,yes,yes,no,no,GCK
GCNT2,,ENSG00000111846,2651,yes,no,no,no,GCNT2
GDAP2,,ENSG00000196505,54834,yes,no,no,no,GDAP2
GDF3,,ENSG00000184344,9573,yes,yes,no,no,GDF3
GDF5,,ENSG00000125965,8200,yes,yes,no,no,GDF5
GDPD1,,ENSG00000153982,284161,yes,no,no,no,GDPD1
GFAP,,ENSG00000131095,2670,yes,yes,no,no,GFAP
GFER,,ENSG00000127554,2671,yes,yes,no,no,GFER
GFM1,,ENSG00000168827,85476,yes,yes,no,no,GFM1
GFM2,,ENSG00000164347,84340,yes,no,no,no,GFM2
GFPT1,,ENSG00000198380,2673,yes,yes,no,yes,GFPT1
GGCX,,ENSG00000115486,2677,yes,no,no,no,GGCX
GGNBP2,,ENSG00000278311,79893,yes,no,no,no,GGNBP2
GGPS1,,ENSG00000152904,9453,yes,yes,no,no,GGPS1
GGT1,,ENSG00000100031,2678,yes,no,no,no,GGT1
GINS2,,ENSG00000131153,51659,yes,no,no,no,GINS2
GIPC1,,ENSG00000123159,10755,yes,yes,no,no,GIPC1
GIPC3,,ENSG00000179855,126326,yes,yes,no,no,GIPC3
GJA1,,ENSG00000152661,2697,yes,yes,no,no,GJA1
GJA10,,ENSG00000135355,84694,yes,no,no,no,GJA10
GJA3,,ENSG00000121743,2700,yes,no,no,no,GJA3
GJA5,,ENSG00000265107,2702,yes,yes,no,no,GJA5
GJA8,,ENSG00000121634,2703,yes,yes,no,no,GJA8
GJB3,,ENSG00000188910,2707,yes,yes,no,no,GJB3
GJB4,,ENSG00000189433,127534,yes,yes,no,no,GJB4
GJB6,,ENSG00000121742,10804,yes,yes,no,no,GJB6
GJC2,,ENSG00000198835,57165,yes,yes,no,yes,GJC2
GJE1,,ENSG00000203733,100126572,yes,no,no,no,GJE1
GLB1,,ENSG00000170266,2720,yes,yes,no,no,GLB1
GLDC,,ENSG00000178445,2731,yes,no,no,no,GLDC
GLE1,,ENSG00000119392,2733,yes,no,no,no,GLE1
GLG1,,ENSG00000090863,2734,yes,no,no,no,GLG1
GLIS2,,ENSG00000126603,84662,yes,no,no,no,GLIS2
GLIS3,,ENSG00000107249,169792,yes,yes,no,no,GLIS3
GLRB,,ENSG00000109738,2743,yes,yes,no,no,GLRB
GLRX5,,ENSG00000182512,51218,yes,no,no,no,GLRX5
GLUD1,,ENSG00000148672,2746,yes,no,no,no,GLUD1
GLYCTK,,ENSG00000168237,132158,yes,yes,no,no,GLYCTK
GM2A,,ENSG00000196743,2760,yes,yes,no,no,GM2A
GMDS,,ENSG00000112699,2762,yes,no,no,no,GMDS
GMNN,,ENSG00000112312,51053,yes,yes,no,no,GMNN
GMPPA,,ENSG00000144591,29926,yes,yes,no,yes,GMPPA
GMPPB,,ENSG00000173540,29925,yes,yes,no,no,GMPPB
GNA11,,ENSG00000088256,2767,yes,yes,no,yes,GNA11
GNA12,,ENSG00000146535,2768,yes,no,no,no,GNA12
GNA14,,ENSG00000156049,9630,yes,yes,no,yes,GNA14
GNAI3,,ENSG00000065135,2773,yes,yes,no,no,GNAI3
GNAO1,,ENSG00000087258,2775,yes,no,no,yes,GNAO1
GNAQ,,ENSG00000156052,2776,yes,yes,no,no,GNAQ
GNAT1,,ENSG00000114349,2779,yes,no,no,no,GNAT1
GNAT2,,ENSG00000134183,2780,yes,no,no,no,GNAT2
GNB1,,ENSG00000078369,2782,yes,yes,no,no,GNB1
GNB2,,ENSG00000172354,2783,yes,yes,no,no,GNB2
GNB3,,ENSG00000111664,2784,yes,no,no,no,GNB3
GNB5,,ENSG00000069966,10681,yes,no,no,yes,GNB5
GNE,,ENSG00000159921,10020,yes,yes,no,no,GNE
GNG11,,ENSG00000127920,2791,yes,no,no,no,GNG11
GNG8,,ENSG00000167414,94235,yes,no,no,no,GNG8
GNGT1,,ENSG00000127928,2792,yes,no,no,no,GNGT1
GNGT2,,ENSG00000167083,2793,yes,no,no,no,GNGT2
GNPAT,,ENSG00000116906,8443,yes,yes,no,no,GNPAT
GNPTAB,,ENSG00000111670,79158,yes,yes,no,no,GNPTAB
GNPTG,,ENSG00000090581,84572,yes,no,no,no,GNPTG
GNS,,ENSG00000135677,2799,yes,yes,no,no,GNS
GOLGA2,,ENSG00000167110,2801,yes,no,no,no,GOLGA2
GOLGA4,,ENSG00000144674,2803,yes,no,no,no,GOLGA4
GORAB,,ENSG00000120370,92344,yes,yes,no,no,GORAB
GP1BA,,ENSG00000185245,2811,yes,yes,no,no,GP1BA
GPAA1,,ENSG00000197858,8733,yes,no,no,no,GPAA1
GPATCH2,,ENSG00000092978,55105,yes,no,no,no,GPATCH2
GPC5,,ENSG00000179399,2262,yes,no,no,no,GPC5
GPHN,,ENSG00000171723,10243,yes,yes,no,no,GPHN
GPIHBP1,,ENSG00000277494,338328,yes,no,no,no,GPIHBP1
GPM6A,,ENSG00000150625,2823,yes,no,no,no,GPM6A
GPR142,,ENSG00000257008,350383,yes,no,no,no,GPR142
GPR156,,ENSG00000175697,165829,yes,yes,no,no,GPR156
GPR179,,ENSG00000277399,440435,yes,no,no,no,GPR179
GPR35,,ENSG00000178623,2859,yes,no,no,no,GPR35
GPR52,,ENSG00000203737,9293,yes,no,no,no,GPR52
GPR63,,ENSG00000112218,81491,yes,no,no,no,GPR63
GPR88,,ENSG00000181656,54112,yes,no,no,no,GPR88
GPRIN1,,ENSG00000169258,114787,yes,no,no,no,GPRIN1
GPX4,,ENSG00000167468,2879,yes,no,no,no,GPX4
GRHL2,,ENSG00000083307,79977,yes,yes,no,no,GRHL2
GRHL3,,ENSG00000158055,57822,yes,yes,no,no,GRHL3
GRHPR,,ENSG00000137106,9380,yes,no,no,no,GRHPR
GRIA1,,ENSG00000155511,2890,yes,yes,no,no,GRIA1
GRIA4,,ENSG00000152578,2893,yes,yes,no,no,GRIA4
GRID1,,ENSG00000182771,2894,yes,yes,no,no,GRID1
GRID2,,ENSG00000152208,2895,yes,no,no,no,GRID2
GRIK2,,ENSG00000164418,2898,yes,yes,no,no,GRIK2
GRIN1,,ENSG00000176884,2902,yes,no,no,no,GRIN1
GRIN2A,,ENSG00000183454,2903,yes,no,no,yes,GRIN2A
GRIN2B,,ENSG00000273079,2904,yes,no,no,no,GRIN2B
GRIN2D,,ENSG00000105464,2906,yes,no,no,no,GRIN2D
GRIP1,,ENSG00000155974,23426,yes,yes,no,no,GRIP1
GRK3,,ENSG00000100077,157,yes,no,no,no,GRK3
GRM1,,ENSG00000152822,2911,yes,yes,no,no,GRM1
GRM6,,ENSG00000113262,2916,yes,no,no,no,GRM6
GRM7,,ENSG00000196277,2917,yes,yes,no,no,GRM7
GRN,,ENSG00000030582,2896,yes,no,no,yes,GRN
GRXCR1,,ENSG00000215203,389207,yes,yes,no,no,GRXCR1
GRXCR2,,ENSG00000204928,643226,yes,yes,no,no,GRXCR2
GSDMC,,ENSG00000147697,56169,yes,no,no,no,GSDMC
GSDMD,,ENSG00000104518,79792,yes,no,no,no,GSDMD
GSE1,,ENSG00000131149,23199,yes,no,no,no,GSE1
GSK3B,,ENSG00000082701,2932,yes,no,no,no,GSK3B
GSN,,ENSG00000148180,2934,yes,yes,no,yes,GSN
GSS,,ENSG00000100983,2937,yes,yes,no,yes,GSS
GSX1,,ENSG00000169840,219409,yes,no,no,no,GSX1
GTF2E2,,ENSG00000197265,2961,yes,yes,no,no,GTF2E2
GTF2H5,,ENSG00000272047,404672,yes,yes,no,no,GTF2H5
GTF2IRD1,,ENSG00000006704,9569,yes,yes,no,no,GTF2IRD1
GTF2IRD2,,ENSG00000196275,84163,yes,yes,no,no,GTF2IRD2
GTPBP2,,ENSG00000172432,54676,yes,no,no,no,GTPBP2
GTPBP3,,ENSG00000130299,84705,yes,no,no,no,GTPBP3
GUCA1A,,ENSG00000048545,2978,yes,yes,no,no,GUCA1A
GUCA1B,,ENSG00000112599,2979,yes,yes,no,no,GUCA1B
GUCA1C,,ENSG00000138472,9626,yes,no,no,no,GUCA1C
GUK1,,ENSG00000143774,2987,yes,no,no,no,GUK1
GUSB,,ENSG00000169919,2990,yes,yes,no,no,GUSB
GXYLT1,,ENSG00000151233,283464,yes,no,no,no,GXYLT1
GYG1,,ENSG00000163754,2992,yes,no,no,no,GYG1
GYS1,,ENSG00000104812,2997,yes,no,no,no,GYS1
GZF1,,ENSG00000125812,64412,yes,yes,no,no,GZF1
H1-4,,ENSG00000168298,3008,yes,no,no,no,H1-4
H3-3A,,ENSG00000163041,3020,yes,no,no,no,H3-3A
H4C11,,ENSG00000197238,8363,yes,no,no,no,H4C11
H4C3,,ENSG00000197061,8364,yes,no,no,yes,H4C3
H4C5,,ENSG00000276966,8367,yes,yes,no,no,H4C5
H6PD,,ENSG00000049239,9563,yes,no,no,no,H6PD
HABP2,,ENSG00000148702,3026,yes,yes,no,no,HABP2
HACD1,,ENSG00000165996,9200,yes,no,no,no,HACD1
HACD3,,ENSG00000074696,51495,yes,no,no,no,HACD3
HACE1,,ENSG00000085382,57531,yes,yes,no,no,HACE1
HADH,,ENSG00000138796,3033,yes,no,no,no,HADH
HADHA,,ENSG00000084754,3030,yes,yes,no,no,HADHA
HADHB,,ENSG00000138029,3032,yes,yes,no,no,HADHB
HAPLN3,,ENSG00000140511,145864,yes,no,no,no,HAPLN3
HARS1,,ENSG00000170445,3035,yes,yes,no,yes,HARS1
HARS2,,ENSG00000112855,23438,yes,yes,no,no,HARS2
HAVCR2,,ENSG00000135077,84868,yes,no,no,no,HAVCR2
HAX1,,ENSG00000143575,10456,yes,yes,no,yes,HAX1
HBA1,,ENSG00000206172,3039,yes,yes,no,no,HBA1
HBA2,,ENSG00000188536,3040,yes,yes,no,no,HBA2
HBEGF,,ENSG00000113070,1839,yes,no,no,no,HBEGF
HBG1,,ENSG00000213934,3047,yes,no,no,no,HBG1
HCLS1,,ENSG00000180353,3059,yes,yes,no,no,HCLS1
HCN1,,ENSG00000164588,348980,yes,no,no,no,HCN1
HEATR3,,ENSG00000155393,55027,yes,yes,no,no,HEATR3
HEATR4,,ENSG00000187105,399671,yes,no,no,no,HEATR4
HECTD2,,ENSG00000165338,143279,yes,no,no,no,HECTD2
HECTD3,,ENSG00000126107,79654,yes,no,no,no,HECTD3
HECTD4,,ENSG00000173064,283450,yes,yes,no,no,HECTD4
HECW2,,ENSG00000138411,57520,yes,no,no,yes,HECW2
HELLS,,ENSG00000119969,3070,yes,no,no,no,HELLS
HELQ,,ENSG00000163312,113510,yes,no,no,no,HELQ
HENMT1,,ENSG00000162639,113802,yes,no,no,no,HENMT1
HEPACAM,,ENSG00000165478,220296,yes,yes,no,no,HEPACAM
HERC1,,ENSG00000103657,8925,yes,no,no,no,HERC1
HERC2,,ENSG00000128731,8924,yes,no,no,yes,HERC2
HEXA,,ENSG00000213614,3073,yes,yes,no,no,HEXA
HEXB,,ENSG00000049860,3074,yes,yes,no,yes,HEXB
HGD,,ENSG00000113924,3081,yes,yes,no,no,HGD
HGSNAT,,ENSG00000165102,138050,yes,yes,no,no,HGSNAT
HHEX,,ENSG00000152804,3087,yes,no,no,no,HHEX
HIBCH,,ENSG00000198130,26275,yes,yes,no,no,HIBCH
HID1,,ENSG00000167861,283987,yes,no,no,no,HID1
HIKESHI,,ENSG00000149196,51501,yes,yes,no,no,HIKESHI
HINT1,,ENSG00000169567,3094,yes,yes,no,yes,HINT1
HIVEP2,,ENSG00000010818,3097,yes,no,no,no,HIVEP2
HIVEP3,,ENSG00000127124,59269,yes,no,no,no,HIVEP3
HJV,,ENSG00000168509,148738,yes,no,no,no,HJV
HK1,,ENSG00000156515,3098,yes,yes,no,yes,HK1
HKDC1,,ENSG00000156510,80201,yes,no,no,no,HKDC1
HLA-A,,ENSG00000206503,3105,yes,yes,no,no,HLA-A
HLA-B,,ENSG00000234745,3106,yes,yes,no,no,HLA-B
HLA-DPA1,,ENSG00000231389,3113,yes,yes,no,no,HLA-DPA1
HLA-DPB1,,ENSG00000223865,3115,yes,yes,no,no,HLA-DPB1
HLA-DQB1,,ENSG00000179344,3119,yes,yes,no,yes,HLA-DQB1
HLA-DRB1,,ENSG00000196126,3123,yes,yes,no,yes,HLA-DRB1
HLCS,,ENSG00000159267,3141,yes,no,no,no,HLCS
HLX,,ENSG00000136630,3142,yes,no,no,no,HLX
HMCN1,,ENSG00000143341,83872,yes,no,no,no,HMCN1
HMGA2,,ENSG00000149948,8091,yes,no,no,no,HMGA2
HMGCL,,ENSG00000117305,3155,yes,no,no,no,HMGCL
HMGCR,,ENSG00000113161,3156,yes,no,no,no,HMGCR
HMHB1,,ENSG00000158497,57824,yes,no,no,no,HMHB1
HMX1,,ENSG00000215612,3166,yes,yes,no,no,HMX1
HNF1A,,ENSG00000135100,6927,yes,yes,no,no,HNF1A
HNF1B,,ENSG00000275410,6928,yes,yes,no,no,HNF1B
HNF4A,,ENSG00000101076,3172,yes,no,no,no,HNF4A
HNRNPA0,,ENSG00000177733,10949,yes,no,no,no,HNRNPA0
HNRNPA1,,ENSG00000135486,3178,yes,no,no,no,HNRNPA1
HNRNPA2B1,,ENSG00000122566,3181,yes,no,no,no,HNRNPA2B1
HNRNPDL,,ENSG00000152795,9987,yes,no,no,no,HNRNPDL
HNRNPH1,,ENSG00000169045,3187,yes,no,no,no,HNRNPH1
HNRNPK,,ENSG00000165119,3190,yes,yes,no,yes,HNRNPK
HNRNPR,,ENSG00000125944,10236,yes,no,no,no,HNRNPR
HNRNPU,,ENSG00000153187,3192,yes,no,no,no,HNRNPU
HOGA1,,ENSG00000241935,112817,yes,no,no,no,HOGA1
HOXA1,,ENSG00000105991,3198,yes,yes,no,no,HOXA1
HOXA10,,ENSG00000253293,3206,yes,yes,no,no,HOXA10
HOXB1,,ENSG00000120094,3211,yes,yes,no,no,HOXB1
HOXC4,,ENSG00000198353,3221,yes,no,no,no,HOXC4
HOXC5,,ENSG00000172789,3222,yes,no,no,no,HOXC5
HPCA,,ENSG00000121905,3208,yes,no,no,no,HPCA
HPCAL1,,ENSG00000115756,3241,yes,no,no,no,HPCAL1
HPD,,ENSG00000158104,3242,yes,no,no,yes,HPD
HPDL,,ENSG00000186603,84842,yes,yes,no,yes,HPDL
HPGD,,ENSG00000164120,3248,yes,yes,no,yes,HPGD
HPS1,,ENSG00000107521,3257,yes,no,no,no,HPS1
HPS3,,ENSG00000163755,84343,yes,no,no,no,HPS3
HPS4,,ENSG00000100099,89781,yes,no,no,no,HPS4
HPS5,,ENSG00000110756,11234,yes,no,no,no,HPS5
HPS6,,ENSG00000166189,79803,yes,yes,no,no,HPS6
HPSE,,ENSG00000173083,10855,yes,no,no,no,HPSE
HRG,,ENSG00000113905,3273,yes,no,no,no,HRG
HRH2,,ENSG00000113749,3274,yes,no,no,no,HRH2
HS3ST1,,ENSG00000002587,9957,yes,no,no,no,HS3ST1
HS3ST2,,ENSG00000122254,9956,yes,no,no,no,HS3ST2
HSD11B2,,ENSG00000176387,3291,yes,no,no,no,HSD11B2
HSD17B3,,ENSG00000130948,3293,yes,no,no,no,HSD17B3
HSD17B4,,ENSG00000133835,3295,yes,yes,no,yes,HSD17B4
HSD3B2,,ENSG00000203859,3284,yes,no,no,no,HSD3B2
HSD3B7,,ENSG00000099377,80270,yes,yes,no,no,HSD3B7
HSF4,,ENSG00000102878,3299,yes,no,no,no,HSF4
HSPA13,,ENSG00000155304,6782,yes,no,no,no,HSPA13
HSPB1,,ENSG00000106211,3315,yes,yes,no,yes,HSPB1
HSPB8,,ENSG00000152137,26353,yes,yes,no,yes,HSPB8
HSPD1,,ENSG00000144381,3329,yes,yes,no,yes,HSPD1
HSPG2,,ENSG00000142798,3339,yes,yes,no,no,HSPG2
HTR1B,,ENSG00000135312,3351,yes,no,no,no,HTR1B
HTR1E,,ENSG00000168830,3354,yes,yes,no,no,HTR1E
HTR2A,,ENSG00000102468,3356,yes,yes,no,no,HTR2A
HTR4,,ENSG00000164270,3360,yes,no,no,no,HTR4
HTRA1,,ENSG00000166033,5654,yes,yes,no,yes,HTRA1
HYDIN,,ENSG00000157423,54768,yes,yes,no,no,HYDIN
HYKK,,ENSG00000188266,123688,yes,yes,no,no,HYKK
IARS2,,ENSG00000067704,55699,yes,yes,no,yes,IARS2
IBA57,,ENSG00000181873,200205,yes,yes,no,yes,IBA57
ICOS,,ENSG00000163600,29851,yes,no,no,no,ICOS
ID2,,ENSG00000115738,3398,yes,no,no,no,ID2
IDH1,,ENSG00000138413,3417,yes,no,no,no,IDH1
IDH3A,,ENSG00000166411,3419,yes,yes,no,no,IDH3A
IDH3B,,ENSG00000101365,3420,yes,yes,no,no,IDH3B
IDUA,,ENSG00000127415,3425,yes,yes,no,no,IDUA
IER2,,ENSG00000160888,9592,yes,no,no,no,IER2
IER3IP1,,ENSG00000134049,51124,yes,no,no,no,IER3IP1
IFI44,,ENSG00000137965,10561,yes,no,no,no,IFI44
IFNG,,ENSG00000111537,3458,yes,yes,no,no,IFNG
IFNGR1,,ENSG00000027697,3459,yes,no,no,yes,IFNGR1
IFNGR2,,ENSG00000159128,3460,yes,no,no,no,IFNGR2
IFRD1,,ENSG00000006652,3475,yes,yes,no,yes,IFRD1
IFT122,,ENSG00000163913,55764,yes,no,no,no,IFT122
IFT140,,ENSG00000187535,9742,yes,yes,no,yes,IFT140
IFT43,,ENSG00000119650,112752,yes,no,no,no,IFT43
IFT52,,ENSG00000101052,51098,yes,no,no,no,IFT52
IFT57,,ENSG00000114446,55081,yes,no,no,no,IFT57
IFT80,,ENSG00000068885,57560,yes,no,no,no,IFT80
IFT81,,ENSG00000122970,28981,yes,no,no,no,IFT81
IFTAP,,ENSG00000166352,119710,yes,no,no,no,IFTAP
IGF1R,,ENSG00000140443,3480,yes,yes,no,no,IGF1R
IGF2BP3,,ENSG00000136231,10643,yes,no,no,no,IGF2BP3
IGFALS,,ENSG00000099769,3483,yes,no,no,no,IGFALS
IGFBP7,,ENSG00000163453,3490,yes,no,no,no,IGFBP7
IGHMBP2,,ENSG00000132740,3508,yes,yes,no,yes,IGHMBP2
IGLL1,,ENSG00000128322,3543,yes,no,no,no,IGLL1
IGSF3,,ENSG00000143061,3321,yes,no,no,no,IGSF3
IGSF9B,,ENSG00000080854,22997,yes,no,no,no,IGSF9B
IKBKB,,ENSG00000104365,3551,yes,no,no,no,IKBKB
IKZF1,,ENSG00000185811,10320,yes,no,no,no,IKZF1
IKZF2,,ENSG00000030419,22807,yes,no,no,no,IKZF2
IL10,,ENSG00000136634,3586,yes,no,no,yes,IL10
IL11RA,,ENSG00000137070,3590,yes,yes,no,no,IL11RA
IL12A,,ENSG00000168811,3592,yes,no,no,yes,IL12A
IL12B,,ENSG00000113302,3593,yes,no,no,no,IL12B
IL12RB1,,ENSG00000096996,3594,yes,no,no,no,IL12RB1
IL17F,,ENSG00000112116,112744,yes,no,no,no,IL17F
IL17RA,,ENSG00000177663,23765,yes,no,no,no,IL17RA
IL17RC,,ENSG00000163702,84818,yes,no,no,no,IL17RC
IL1RN,,ENSG00000136689,3557,yes,no,no,no,IL1RN
IL23R,,ENSG00000162594,149233,yes,no,no,yes,IL23R
IL2RA,,ENSG00000134460,3559,yes,no,no,no,IL2RA
IL2RB,,ENSG00000100385,3560,yes,no,no,no,IL2RB
IL36RN,,ENSG00000136695,26525,yes,no,no,no,IL36RN
IL6,,ENSG00000136244,3569,yes,no,no,no,IL6
IL6ST,,ENSG00000134352,3572,yes,no,no,no,IL6ST
IL7R,,ENSG00000168685,3575,yes,yes,no,no,IL7R
ILF3,,ENSG00000129351,3609,yes,no,no,no,ILF3
IMMP2L,,ENSG00000184903,83943,yes,no,no,no,IMMP2L
IMPDH2,,ENSG00000178035,3615,yes,yes,no,yes,IMPDH2
IMPG1,,ENSG00000112706,3617,yes,yes,no,no,IMPG1
IMPG2,,ENSG00000081148,50939,yes,yes,no,no,IMPG2
INHBA,,ENSG00000122641,3624,yes,no,no,no,INHBA
INO80C,,ENSG00000153391,125476,yes,no,no,no,INO80C
INO80E,,ENSG00000169592,283899,yes,no,no,no,INO80E
INPP5E,,ENSG00000148384,56623,yes,no,no,no,INPP5E
INPP5K,,ENSG00000132376,51763,yes,no,no,no,INPP5K
INSR,,ENSG00000171105,3643,yes,yes,no,no,INSR
INSYN1,,ENSG00000205363,388135,yes,no,no,no,INSYN1
INTS1,,ENSG00000164880,26173,yes,no,no,no,INTS1
INTS11,,ENSG00000127054,54973,yes,no,no,no,INTS11
INTS15,,ENSG00000146576,79034,yes,no,no,no,INTS15
INVS,,ENSG00000119509,27130,yes,yes,no,no,INVS
IPO8,,ENSG00000133704,10526,yes,yes,no,no,IPO8
IPO9,,ENSG00000198700,55705,yes,no,no,no,IPO9
IQCC,,ENSG00000160051,55721,yes,no,no,no,IQCC
IQCJ-SCHIP1,,ENSG00000283154,100505385,yes,no,no,no,IQCJ-SCHIP1
IQGAP1,,ENSG00000140575,8826,yes,no,no,no,IQGAP1
IQGAP2,,ENSG00000145703,10788,yes,yes,no,no,IQGAP2
IQSEC1,,ENSG00000144711,9922,yes,no,no,no,IQSEC1
IRAG1,,ENSG00000072952,10335,yes,no,no,no,IRAG1
IRAK1BP1,,ENSG00000146243,134728,yes,no,no,no,IRAK1BP1
IRAK2,,ENSG00000134070,3656,yes,no,no,no,IRAK2
IREB2,,ENSG00000136381,3658,yes,no,no,no,IREB2
IRF2BPL,,ENSG00000119669,64207,yes,yes,no,yes,IRF2BPL
IRF4,,ENSG00000137265,3662,yes,no,no,no,IRF4
IRF5,,ENSG00000128604,3663,yes,no,no,no,IRF5
IRF8,,ENSG00000140968,3394,yes,no,no,no,IRF8
IRS1,,ENSG00000169047,3667,yes,no,no,no,IRS1
IRX3,,ENSG00000177508,79191,yes,yes,no,no,IRX3
IRX5,,ENSG00000176842,10265,yes,yes,no,no,IRX5
IRX6,,ENSG00000159387,79190,yes,no,no,no,IRX6
ISCA1,,ENSG00000135070,81689,yes,no,no,no,ISCA1
ISCA2,,ENSG00000165898,122961,yes,yes,no,no,ISCA2
ISCU,,ENSG00000136003,23479,yes,no,no,no,ISCU
ISG15,,ENSG00000187608,9636,yes,no,no,no,ISG15
ISG20,,ENSG00000172183,3669,yes,yes,no,no,ISG20
ISLR,,ENSG00000129009,3671,yes,no,no,no,ISLR
ITCH,,ENSG00000078747,83737,yes,no,no,no,ITCH
ITFG1,,ENSG00000129636,81533,yes,no,no,no,ITFG1
ITGA2,,ENSG00000164171,3673,yes,yes,no,no,ITGA2
ITGA2B,,ENSG00000005961,3674,yes,yes,no,no,ITGA2B
ITGA4,,ENSG00000115232,3676,yes,no,no,no,ITGA4
ITGA7,,ENSG00000135424,3679,yes,no,no,no,ITGA7
ITGA8,,ENSG00000077943,8516,yes,no,no,no,ITGA8
ITGAM,,ENSG00000169896,3684,yes,yes,no,no,ITGAM
ITGAV,,ENSG00000138448,3685,yes,no,no,no,ITGAV
ITGB1,,ENSG00000150093,3688,yes,yes,no,no,ITGB1
ITGB3,,ENSG00000259207,3690,yes,yes,no,no,ITGB3
ITGB6,,ENSG00000115221,3694,yes,yes,no,no,ITGB6
ITIH4,,ENSG00000055955,3700,yes,no,no,no,ITIH4
ITK,,ENSG00000113263,3702,yes,no,no,no,ITK
ITM2B,,ENSG00000136156,9445,yes,yes,no,yes,ITM2B
ITPA,,ENSG00000125877,3704,yes,no,no,no,ITPA
ITPR1,,ENSG00000150995,3708,yes,yes,no,yes,ITPR1
ITPR3,,ENSG00000096433,3710,yes,no,no,yes,ITPR3
ITPRIPL2,,ENSG00000205730,162073,yes,no,no,no,ITPRIPL2
IVNS1ABP,,ENSG00000116679,10625,yes,no,no,no,IVNS1ABP
IZUMO3,,ENSG00000205442,100129669,yes,no,no,no,IZUMO3
JAG2,,ENSG00000184916,3714,yes,no,no,no,JAG2
JAK2,,ENSG00000096968,3717,yes,yes,no,yes,JAK2
JAK3,,ENSG00000105639,3718,yes,yes,no,no,JAK3
JAM2,,ENSG00000154721,58494,yes,no,no,no,JAM2
JAM3,,ENSG00000166086,83700,yes,no,no,no,JAM3
JARID2,,ENSG00000008083,3720,yes,no,no,yes,JARID2
JAZF1,,ENSG00000153814,221895,yes,no,no,no,JAZF1
JPH2,,ENSG00000149596,57158,yes,yes,no,no,JPH2
JPH3,,ENSG00000154118,57338,yes,no,no,no,JPH3
JRKL,,ENSG00000183340,8690,yes,no,no,no,JRKL
KANK1,,ENSG00000107104,23189,yes,yes,no,no,KANK1
KARS1,,ENSG00000065427,3735,yes,yes,no,yes,KARS1
KAT5,,ENSG00000172977,10524,yes,no,no,no,KAT5
KAT6A,,ENSG00000083168,7994,yes,no,no,no,KAT6A
KAT8,,ENSG00000103510,84148,yes,no,no,no,KAT8
KATNAL2,,ENSG00000167216,83473,yes,yes,no,no,KATNAL2
KATNIP,,ENSG00000047578,23247,yes,no,no,no,KATNIP
KBTBD12,,ENSG00000187715,166348,yes,no,no,no,KBTBD12
KBTBD13,,ENSG00000234438,390594,yes,no,no,no,KBTBD13
KBTBD8,,ENSG00000163376,84541,yes,no,no,no,KBTBD8
KCNA1,,ENSG00000111262,3736,yes,no,no,no,KCNA1
KCNA2,,ENSG00000177301,3737,yes,yes,no,no,KCNA2
KCNA4,,ENSG00000182255,3739,yes,no,no,no,KCNA4
KCNA5,,ENSG00000130037,3741,yes,no,no,no,KCNA5
KCNAB2,,ENSG00000069424,8514,yes,yes,no,no,KCNAB2
KCNB1,,ENSG00000158445,3745,yes,no,no,no,KCNB1
KCNB2,,ENSG00000182674,9312,yes,no,no,no,KCNB2
KCNC2,,ENSG00000166006,3747,yes,no,no,no,KCNC2
KCNC3,,ENSG00000131398,3748,yes,yes,no,yes,KCNC3
KCND3,,ENSG00000171385,3752,yes,no,no,yes,KCND3
KCNH1,,ENSG00000143473,3756,yes,yes,no,no,KCNH1
KCNH5,,ENSG00000140015,27133,yes,no,no,no,KCNH5
KCNJ1,,ENSG00000151704,3758,yes,yes,no,yes,KCNJ1
KCNJ10,,ENSG00000177807,3766,yes,yes,no,yes,KCNJ10
KCNJ11,,ENSG00000187486,3767,yes,yes,no,no,KCNJ11
KCNJ15,,ENSG00000157551,3772,yes,no,no,no,KCNJ15
KCNJ2,,ENSG00000123700,3759,yes,no,no,no,KCNJ2
KCNK15,,ENSG00000124249,60598,yes,no,no,no,KCNK15
